state,district,year,crop,session,area,production,yield,yield_num
1. Andaman and Nicobar Islands,1. Nicobars,2020 - 2021,Banana,Whole Year,409.83,752.97,1.84,1.84
1. Andaman and Nicobar Islands,1. Nicobars,2020 - 2021,Coconut,Whole Year,"13,748.00","99,859,000.00","7,263.53",7263.53
1. Andaman and Nicobar Islands,1. Nicobars,2021 - 2022,Banana,Whole Year,416.50,"1,164.50",2.80,2.8
1. Andaman and Nicobar Islands,1. Nicobars,2021 - 2022,Coconut,Whole Year,"13,752.00","106,600,000.00","7,751.60",7751.6
1. Andaman and Nicobar Islands,1. Nicobars,2022 - 2023,Banana,Whole Year,400.00,932.00,2.33,2.33
1. Andaman and Nicobar Islands,1. Nicobars,2022 - 2023,Coconut,Whole Year,"13,752.00","128,750,000.00","9,362.27",9362.27
1. Andaman and Nicobar Islands,1. Nicobars,2022 - 2023,Tapioca,Whole Year,44.50,315.00,7.08,7.08
1. Andaman and Nicobar Islands,2. North and middle andaman,2020 - 2021,Banana,Whole Year,935.98,"7,310.00",7.81,7.81
1. Andaman and Nicobar Islands,2. North and middle andaman,2020 - 2021,Coconut,Whole Year,"1,537.38","6,560,000.00","4,267.00",4267.0
1. Andaman and Nicobar Islands,2. North and middle andaman,2021 - 2022,Banana,Whole Year,924.58,"5,818.57",6.29,6.29
1. Andaman and Nicobar Islands,2. North and middle andaman,2021 - 2022,Coconut,Whole Year,"1,336.55","5,680,000.00","4,249.75",4249.75
1. Andaman and Nicobar Islands,2. North and middle andaman,2022 - 2023,Banana,Whole Year,880.00,"5,663.03",6.44,6.44
1. Andaman and Nicobar Islands,2. North and middle andaman,2022 - 2023,Coconut,Whole Year,"1,335.55","5,400,000.00","4,043.28",4043.28
1. Andaman and Nicobar Islands,2. North and middle andaman,2022 - 2023,Tapioca,Whole Year,16.50,138.16,8.37,8.37
1. Andaman and Nicobar Islands,3. South andamans,2020 - 2021,Banana,Whole Year,410.24,"8,260.30",20.14,20.14
1. Andaman and Nicobar Islands,3. South andamans,2020 - 2021,Coconut,Whole Year,"2,810.00","18,950,000.00","6,743.77",6743.77
1. Andaman and Nicobar Islands,3. South andamans,2021 - 2022,Banana,Whole Year,420.60,"10,881.00",25.87,25.87
1. Andaman and Nicobar Islands,3. South andamans,2021 - 2022,Coconut,Whole Year,"2,815.25","19,480,000.00","6,919.46",6919.46
1. Andaman and Nicobar Islands,3. South andamans,2022 - 2023,Banana,Whole Year,435.50,"10,803.50",24.81,24.81
1. Andaman and Nicobar Islands,3. South andamans,2022 - 2023,Coconut,Whole Year,"2,825.00","19,230,000.00","6,807.08",6807.08
1. Andaman and Nicobar Islands,3. South andamans,2022 - 2023,Tapioca,Whole Year,61.40,749.20,12.20,12.2
2. Andhra Pradesh,1. Alluri sitharama raju,2022 - 2023,Coconut,Whole Year,23.00,"421,000.00","18,304.35",18304.35
2. Andhra Pradesh,1. Alluri sitharama raju,2022 - 2023,Black pepper,Whole Year,382.00,235.00,0.62,0.62
2. Andhra Pradesh,2. Anakapalli,2022 - 2023,Coconut,Whole Year,"7,593.00","100,425,000.00","13,226.00",13226.0
